Stkcd,Pressure,Tone,Size,Growth,year,indus1,NCSKEW,DUVOL,EM,EPS,Institution,Shareholding
25,1.461141,.32876712,20.896379,.067541,2016,46,-1.364100813865662,-.8541246652603149,1.3087,.0915,74.7723,1
26,.13275313,.5168067200000001,22.020123,.056274,2014,47,.6687892079353333,.3287611603736877,2.235152,.371,47.5567,1
26,.20429801,.4159292,22.169401,-.03537,2015,47,-.3398358821868896,-.0513957180082798,1.844109,.3099,44.4813,1
26,.33272562,.62464986,22.110785,-.053233,2016,47,-.5842573642730713,-.5501599907875061,1.686309,.2522,47.2269,1
26,.32956834,.33684211,21.998569,.117555,2017,47,.0953716933727264,.3052172958850861,1.450498,.3196,46.9988,1
26,.21667153,.37711069,22.004114,.016331,2018,47,-.1178270354866982,-.3470915555953979,1.400582,.419,43.3555,1
26,.1475854,.47349177,22.04793,.089329,2019,47,-3.014407157897949,-.6613398194313049,1.416789,.4943,37.7034,1
26,.19079104,.42143906,22.114227,.14557201,2020,47,-1.348248243331909,-.8966515064239502,1.435275,.6764,48.6316,1
27,-.23238677,.37068966,24.3724,.012571,2014,40,-1.027580618858337,-.8363759517669678,1.888586,.77,75.1328,1
27,-.3025504,.37037037,24.78487,-.110032,2015,40,-.2444020509719849,-.3090861737728119,2.335038,.45,77.1503,1
27,-.0522325,.37894737,24.831879,.016903,2016,40,-.2273280918598175,-.2052868604660034,2.451386,.34,77.52500000000001,1
27,.12415283,.11926606,25.070066,.37353799,2017,40,-.7977477312088013,-.322959840297699,3.1239,.19,77.0463,1
27,.08951199,.187251,25.166786,.19179,2018,40,-.5887869596481323,-.2112454175949097,3.095437,.17,78.3236,1
27,.1420536,.21875,25.28878,.12358,2019,40,-1.071401596069336,-.6006890535354614,2.861768,.43,79.34999999999999,1
27,-.01678603,.22875817,25.460011,-.017414,2020,40,-.3447853028774261,-.2201021015644073,2.725267,.78,77.1279,1
28,.94335412,.45991561,23.274969,.12995,2014,46,.1641964912414551,.2537433505058289,2.64448,1.9,73.544,1
28,.58521855,.41732283,23.304873,.085112,2015,46,-.3587218523025513,-.1993080675601959,2.374636,2.1,78.42910000000001,1
28,.50706325,.325811,23.782572,.58689702,2016,46,-.5461799502372742,-.7259753346443176,2.390935,2.8,74.7325,1
28,.30541822,.25543478,23.829807,.000368,2017,46,.3470465242862701,.4082824885845184,2.250681,2.47,75.0878,1
28,.257947,.31147541,24.088156,.045046,2018,46,.0207880306988955,-.0808627679944038,2.080452,2.83,74.6241,1
28,.64071342,.40436457,24.235426,.20693099,2019,46,.1030053272843361,.3769177198410034,2.182354,2.97,74.6422,1
28,.180587,.3739931,24.401957,.14609601,2020,46,.4508960247039795,.2285831719636917,2.344449,3.27,71.0085,1
31,-.1122103,.51535836,24.558655,-.111784,2014,59,-3.091597080230713,-1.305623888969421,4.342364,.33,58.1904,1
31,-.037856,.53385827,24.736431,.493175,2015,59,-.0274015329778194,-.0547876469790936,4.99027,.4,51.444,1
31,-.0155312,.5306427500000001,24.838669,.33524501,2016,59,-.6056197881698608,-.8114182353019714,5.42873,.4,51.3134,1
31,-.2835812,.43565525,25.236013,.005499,2018,59,-.1952862441539764,-.5210739374160767,6.62597,.77,54.0954,1
31,-.28697833,.27495622,25.933748,1.392892,2019,59,-.675524115562439,-.5625935196876526,4.30602,.61,83.0748,1
